Symbol,EntryTimestampMarket,ExitTimestampMarket,Shares,EntryPrice,ExitPrice,PnL,TaxReserved,ExitReason,ResultR
AMC,2024-07-02T10:15:00-04:00,2024-07-03T11:15:00-04:00,29,5.19889625,5.03417968,-4.77678058,-1.76740881,ATR_STOP,-1.02347778
EOSE,2024-07-03T09:45:00-04:00,2024-07-03T12:30:00-04:00,1,1.59619625,1.78329498,0.18709873,0.06922653,ATR_TARGET,1.98579394
RIVN,2024-07-02T14:00:00-04:00,2024-07-05T09:30:00-04:00,39,14.87254605,14.32595961,-21.31687114,-7.88724232,ATR_STOP,-1.02006692
SOFI,2024-07-03T10:15:00-04:00,2024-07-05T09:30:00-04:00,81,6.53990125,6.44174709,-7.95048730,-2.94168030,ATR_STOP,-1.05181072
ASTS,2024-07-03T12:15:00-04:00,2024-07-05T09:30:00-04:00,12,11.49861750,11.05826588,-5.28421945,-1.95516120,ATR_STOP,-1.01921049
EOSE,2024-07-03T12:45:00-04:00,2024-07-05T09:45:00-04:00,6,1.77192795,1.84446788,0.43523959,0.16103865,ATR_STOP,0.65651630
AMD,2024-07-05T09:45:00-04:00,2024-07-05T12:15:00-04:00,3,167.16528000,173.23773503,18.21736509,6.74042508,ATR_TARGET,1.95807296
PLTR,2024-07-05T09:45:00-04:00,2024-07-08T09:30:00-04:00,5,26.60764078,27.90905250,6.50705862,2.40761169,TARGET_GAP,2.90428817
ASTS,2024-07-05T11:30:00-04:00,2024-07-08T09:30:00-04:00,1,11.73889758,12.69397689,0.95507931,0.35337935,ATR_TARGET,1.98024557
BLNK,2024-07-03T10:15:00-04:00,2024-07-08T09:45:00-04:00,1,2.78708875,2.93404761,0.14695886,0.05437478,ATR_TARGET,1.97047235
PLUG,2024-07-05T14:00:00-04:00,2024-07-08T11:30:00-04:00,202,2.59194250,2.60425777,2.48768449,0.92044326,ATR_STOP,0.14237203
BLNK,2024-07-08T11:00:00-04:00,2024-07-08T11:30:00-04:00,1,2.98223500,2.89438691,-0.08784809,-0.03250380,ATR_STOP,-1.02535632
JMIA,2024-07-08T09:30:00-04:00,2024-07-08T12:00:00-04:00,15,8.60645000,8.31513377,-4.36974344,-1.61680507,ATR_STOP,-1.02189258
CLOV,2024-07-08T09:45:00-04:00,2024-07-08T12:00:00-04:00,15,1.28586367,1.30742434,0.32340999,0.11966170,ATR_STOP,0.60672666
TSLL,2024-07-08T11:45:00-04:00,2024-07-08T13:00:00-04:00,34,15.38152750,14.63127973,-25.50842429,-9.43811699,ATR_STOP,-1.01485486
LUMN,2024-07-08T13:30:00-04:00,2024-07-08T15:15:00-04:00,552,1.07580625,1.03504632,-22.49948014,-8.32480765,ATR_STOP,-1.01942991
ACHR,2024-07-05T09:45:00-04:00,2024-07-09T09:30:00-04:00,134,4.34315493,4.05618357,-38.45416218,-14.22804001,ATR_STOP,-1.01072255
INTC,2024-07-08T15:15:00-04:00,2024-07-09T09:30:00-04:00,1,33.99948050,35.01792678,1.01844628,0.37682512,ATR_TARGET,1.94968428
PLTR,2024-07-08T15:30:00-04:00,2024-07-09T10:15:00-04:00,20,27.93093250,27.48535469,-8.91155626,-3.29727582,ATR_STOP,-1.04854587
BIDU,2024-07-09T10:45:00-04:00,2024-07-09T10:45:00-04:00,6,89.79729750,91.48307261,10.11465069,3.74242076,ATR_TARGET,1.92172563
TSLA,2024-07-09T09:45:00-04:00,2024-07-10T10:00:00-04:00,2,255.03123008,259.64547516,9.22849018,3.41454137,ATR_STOP,0.72963098
PLUG,2024-07-10T12:30:00-04:00,2024-07-10T13:00:00-04:00,1,2.68621315,2.59596742,-0.09024573,-0.03339092,ATR_STOP,-1.02206678
BTE,2024-07-08T15:45:00-04:00,2024-07-10T15:00:00-04:00,14,3.55266250,3.65048434,1.36950574,0.50671713,ATR_TARGET,1.94550775
EOSE,2024-07-10T13:30:00-04:00,2024-07-11T09:30:00-04:00,1,2.00650375,2.18498014,0.17847639,0.06603626,ATR_TARGET,1.98178994
SEDG,2024-07-10T15:15:00-04:00,2024-07-11T09:30:00-04:00,1,29.08179500,30.81378380,1.73198880,0.64083586,ATR_TARGET,1.97364541
PLUG,2024-07-10T15:30:00-04:00,2024-07-11T10:00:00-04:00,8,2.70202500,2.88899981,1.49579848,0.55344544,ATR_TARGET,1.97707159
LUMN,2024-07-09T11:00:00-04:00,2024-07-11T10:15:00-04:00,520,1.07580625,1.16499287,46.37704475,17.15950656,ATR_TARGET,1.98058205
HIVE,2024-07-11T10:45:00-04:00,2024-07-11T11:30:00-04:00,172,3.42256500,3.29286909,-22.30769572,-8.25384741,ATR_STOP,-1.01942635
BTE,2024-07-11T10:15:00-04:00,2024-07-11T11:45:00-04:00,6,3.69276750,3.70638813,0.08172376,0.03023779,ATR_STOP,0.22080537
ADMA,2024-07-09T09:45:00-04:00,2024-07-11T12:00:00-04:00,7,11.98097900,12.43813536,3.20009452,1.18403497,ATR_TARGET,1.95997529
ACHR,2024-07-10T10:45:00-04:00,2024-07-12T09:30:00-04:00,117,4.39319242,4.69647500,35.48406128,13.12910267,TARGET_GAP,2.33460727
NXE,2024-07-11T09:45:00-04:00,2024-07-12T09:30:00-04:00,4,7.57067375,7.40879595,-0.64751122,-0.23957915,ATR_STOP,-1.03557365
VISN,2024-07-11T14:30:00-04:00,2024-07-12T09:30:00-04:00,75,1.41105750,1.50257269,6.86363896,2.53954642,ATR_TARGET,1.97565330
HIVE,2024-07-12T09:45:00-04:00,2024-07-12T10:15:00-04:00,22,3.53264750,3.39868278,-2.94722376,-1.09047279,ATR_STOP,-1.01941140
BLNK,2024-07-11T13:30:00-04:00,2024-07-12T13:30:00-04:00,177,3.27245250,3.49554451,39.48728612,14.61029586,ATR_TARGET,1.97675282
ERAS,2024-07-12T10:30:00-04:00,2024-07-12T14:00:00-04:00,26,2.94220500,2.99079462,1.26333022,0.46743218,ATR_STOP,0.41792986
SOFI,2024-07-12T14:15:00-04:00,2024-07-15T09:45:00-04:00,11,6.98023125,7.19797859,2.39522076,0.88623168,ATR_TARGET,1.95157931
HIVE,2024-07-12T13:45:00-04:00,2024-07-15T12:30:00-04:00,171,3.52334053,3.78689601,45.06798858,16.67515578,ATR_TARGET,1.97866121
LUMN,2024-07-12T15:15:00-04:00,2024-07-15T15:15:00-04:00,2,1.18088500,1.25361119,0.14545237,0.05381738,ATR_TARGET,1.97445497
GME,2024-07-15T10:00:00-04:00,2024-07-16T09:30:00-04:00,3,26.39978500,27.90744185,4.52297056,1.67349911,ATR_TARGET,1.97259421
VISN,2024-07-15T15:30:00-04:00,2024-07-16T09:45:00-04:00,1,1.62121500,1.57063801,-0.05057699,-0.01871349,ATR_STOP,-1.02386452
AMC,2024-07-12T09:45:00-04:00,2024-07-16T10:00:00-04:00,113,5.29897125,5.39417929,10.75850839,3.98064810,ATR_STOP,0.68136799
BE,2024-07-15T12:45:00-04:00,2024-07-16T10:00:00-04:00,45,13.88040250,14.30339763,19.03478106,7.04286899,ATR_STOP,0.82439302
SEDG,2024-07-16T10:00:00-04:00,2024-07-16T13:30:00-04:00,2,28.36625875,30.56946606,4.40641462,1.63037341,ATR_TARGET,1.97938657
BLNK,2024-07-15T15:15:00-04:00,2024-07-16T14:45:00-04:00,1,3.44258000,3.65024895,0.20766895,0.07683751,ATR_TARGET,1.97395791
SOFI,2024-07-16T10:45:00-04:00,2024-07-17T09:30:00-04:00,80,7.50562500,7.58430750,6.29460000,2.32900200,STOP_GAP,0.45978258
SEDG,2024-07-16T13:45:00-04:00,2024-07-17T09:30:00-04:00,2,30.51286750,28.93828000,-3.14917500,-1.16519475,STOP_GAP,-1.35611014
CLOV,2024-07-16T10:00:00-04:00,2024-07-17T09:30:00-04:00,17,1.65203810,1.67878381,0.45467714,0.16823054,ATR_STOP,0.41516182
IAUX,2024-07-15T15:15:00-04:00,2024-07-17T10:00:00-04:00,2,1.16587375,1.13101948,-0.06970853,-0.02579216,ATR_STOP,-1.02496375
APPS,2024-07-16T10:45:00-04:00,2024-07-17T10:30:00-04:00,274,2.33675125,2.36891837,8.81379218,3.26110311,ATR_STOP,0.25313596
AMC,2024-07-17T09:45:00-04:00,2024-07-17T11:00:00-04:00,10,5.61921125,5.45129920,-1.67912049,-0.62127458,ATR_STOP,-1.02497577
AFRM,2024-07-17T09:45:00-04:00,2024-07-17T11:15:00-04:00,19,33.57516250,32.70740628,-16.48736826,-6.10032626,ATR_STOP,-1.02911380
VISN,2024-07-17T13:30:00-04:00,2024-07-18T09:30:00-04:00,396,1.61521050,2.31826000,278.40760200,103.01081274,TARGET_GAP,10.45555494
PLTR,2024-07-18T09:45:00-04:00,2024-07-18T10:00:00-04:00,27,28.38127000,29.45037751,28.86590276,10.68038402,ATR_TARGET,1.95948658
EVLV,2024-07-17T13:45:00-04:00,2024-07-18T10:30:00-04:00,190,3.36752375,3.42081673,10.12566579,3.74649634,ATR_STOP,0.33520860
CLOV,2024-07-18T10:15:00-04:00,2024-07-18T10:30:00-04:00,17,1.77633125,1.70446402,-1.22174286,-0.45204486,ATR_STOP,-1.01812360
LUMN,2024-07-17T15:00:00-04:00,2024-07-18T13:45:00-04:00,39,1.33099750,1.37293255,1.63546693,0.60512276,ATR_STOP,0.92655956
INTC,2024-07-18T10:15:00-04:00,2024-07-18T14:00:00-04:00,21,35.89189875,34.98497442,-19.04541096,-7.04680206,ATR_STOP,-1.02981656
PLUG,2024-07-18T11:15:00-04:00,2024-07-18T14:00:00-04:00,211,3.20740375,3.07595321,-27.73606406,-10.26234370,ATR_STOP,-1.01787721
HIVE,2024-07-19T09:45:00-04:00,2024-07-19T12:30:00-04:00,194,3.84798383,4.20341920,68.95446195,25.51315092,ATR_TARGET,1.98240370
JMIA,2024-07-19T09:45:00-04:00,2024-07-22T09:45:00-04:00,56,12.52939000,12.74369839,12.00127003,4.44046991,ATR_STOP,0.37432097
HIVE,2024-07-22T09:45:00-04:00,2024-07-23T09:30:00-04:00,2,4.28821375,4.36672250,0.15701750,0.05809647,STOP_GAP,0.38455797
RIVN,2024-07-22T10:15:00-04:00,2024-07-23T09:45:00-04:00,41,17.32298250,16.82852097,-20.27292274,-7.50098141,ATR_STOP,-1.02621432
ASTS,2024-07-23T10:00:00-04:00,2024-07-23T10:15:00-04:00,52,13.19949220,13.94222011,38.62185118,14.29008494,ATR_TARGET,1.97221291
LUMN,2024-07-19T11:15:00-04:00,2024-07-23T13:45:00-04:00,5,1.38603875,1.49468622,0.54323736,0.20099782,ATR_TARGET,1.97955975
ADMA,2024-07-22T09:45:00-04:00,2024-07-23T15:45:00-04:00,57,13.66023750,13.86393674,11.61085689,4.29601705,ATR_STOP,0.67238993
SOFI,2024-07-23T09:30:00-04:00,2024-07-24T09:30:00-04:00,1,7.50562500,7.32450250,-0.18112250,-0.06701532,STOP_GAP,-1.35242627
LUMN,2024-07-24T13:30:00-04:00,2024-07-24T14:00:00-04:00,11,1.61120750,1.54067798,-0.77582471,-0.28705514,ATR_STOP,-1.01666893
VISN,2024-07-23T10:30:00-04:00,2024-07-24T14:30:00-04:00,408,1.77132750,1.68400777,-35.62644898,-13.18178612,ATR_STOP,-1.01468761
HIVE,2024-07-24T13:15:00-04:00,2024-07-24T14:30:00-04:00,179,4.37327750,4.17719837,-35.09816372,-12.98632058,ATR_STOP,-1.01624955
CLOV,2024-07-22T15:00:00-04:00,2024-07-24T15:15:00-04:00,1,1.65624125,1.60480670,-0.05143455,-0.01903078,ATR_STOP,-1.02397984
ASTS,2024-07-25T09:45:00-04:00,2024-07-25T10:15:00-04:00,54,14.01050000,15.16714457,62.45880665,23.10975846,ATR_TARGET,1.98050750
VISN,2024-07-25T11:00:00-04:00,2024-07-26T10:30:00-04:00,439,1.79134250,1.81589857,10.78011289,3.98864177,ATR_STOP,0.31842658
VISN,2024-07-26T12:15:00-04:00,2024-07-29T09:30:00-04:00,417,1.90142500,2.05117013,62.44371828,23.10417577,ATR_TARGET,1.97964721
CLOV,2024-07-26T09:45:00-04:00,2024-07-29T09:45:00-04:00,428,1.69637133,1.71371375,7.42255790,2.74634642,STOP_GAP,0.31004292
LUMN,2024-07-29T09:45:00-04:00,2024-07-29T12:15:00-04:00,462,1.77633125,1.89081664,52.89225177,19.57013315,ATR_TARGET,1.97551129
LUMN,2024-07-29T12:30:00-04:00,2024-07-30T09:30:00-04:00,446,1.89141750,2.04435692,68.21098109,25.23806300,ATR_TARGET,1.98013361
ASTS,2024-07-30T09:45:00-04:00,2024-07-30T10:00:00-04:00,44,19.82485750,18.82130794,-44.15618065,-16.33778684,ATR_STOP,-1.01427759
CLOV,2024-07-29T11:15:00-04:00,2024-07-30T11:15:00-04:00,415,1.79064197,1.93154919,58.47649229,21.63630215,ATR_TARGET,1.97963220
VISN,2024-07-30T09:45:00-04:00,2024-07-31T09:30:00-04:00,10,2.49186750,2.84319879,3.51331294,1.29992579,ATR_TARGET,1.98792527
ASTS,2024-07-31T09:45:00-04:00,2024-07-31T13:00:00-04:00,11,18.13359000,19.71262330,17.36936634,6.42666555,ATR_TARGET,1.98143394
BLNK,2024-07-31T09:45:00-04:00,2024-07-31T14:45:00-04:00,4,3.24212977,3.44376312,0.80653338,0.29841735,ATR_TARGET,1.97468627
BLNK,2024-07-31T15:00:00-04:00,2024-07-31T15:15:00-04:00,4,3.44758375,3.34066773,-0.42766406,-0.15823570,ATR_STOP,-1.02401508
NXE,2024-07-31T14:00:00-04:00,2024-07-31T15:45:00-04:00,31,6.69501750,6.75767349,1.94233559,0.71866417,ATR_STOP,0.45834525
LUMN,2024-07-31T09:30:00-04:00,2024-08-01T09:30:00-04:00,218,2.59194250,3.26754750,147.28189000,54.49429930,TARGET_GAP,2.24425447
EOSE,2024-07-31T15:00:00-04:00,2024-08-01T10:15:00-04:00,1,1.98648875,1.90764112,-0.07884763,-0.02917362,ATR_STOP,-1.01849499
CLOV,2024-07-30T11:30:00-04:00,2024-08-01T13:00:00-04:00,456,1.91643625,1.82616799,-41.16232884,-15.23006167,ATR_STOP,-1.01541834
FLNA,2024-08-01T15:45:00-04:00,2024-08-02T09:45:00-04:00,40,22.84211875,21.44446870,-55.90600220,-20.68522081,ATR_STOP,-1.01165023
FLNA,2024-08-02T11:45:00-04:00,2024-08-02T13:00:00-04:00,34,23.96806258,27.86365614,132.45018128,49.00656707,ATR_TARGET,1.98932037
TWLO,2024-08-02T12:30:00-04:00,2024-08-05T09:30:00-04:00,13,61.51610250,57.95650000,-46.27483250,-17.12168803,STOP_GAP,-2.24332802
FLNA,2024-08-02T15:15:00-04:00,2024-08-05T09:30:00-04:00,26,28.82059925,25.98050000,-73.84258050,-27.32175478,STOP_GAP,-1.04513737
VISN,2024-08-02T15:45:00-04:00,2024-08-05T09:30:00-04:00,89,2.24668375,2.01848500,-20.30968875,-7.51458484,STOP_GAP,-1.91083565
ASTS,2024-08-07T09:45:00-04:00,2024-08-07T12:45:00-04:00,43,20.47534500,20.73115095,10.99965580,4.06987265,ATR_STOP,0.25554289
TWLO,2024-08-07T10:00:00-04:00,2024-08-07T13:45:00-04:00,12,60.99571250,59.81568763,-14.16029839,-5.23931040,ATR_STOP,-1.03955094
